"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $2538.69898730111/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x96134def19685b15278f4226f4a911b603ad4e80eb4d5044e19260801d5d4d10","1621010","1464740284","2016-06-01 00:18:04","0x0a9de66f5fda96a5b40d1ca9cd18bfb298c67d1c","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00095556","2.42587920430545","13.83","","","Transfer"
"0x251825c26f4819c639fe907f495cd57c627a74d02dee7132bcde665da305c37b","1621010","1464740284","2016-06-01 00:18:04","0x0a9de66f5fda96a5b40d1ca9cd18bfb298c67d1c","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00155684","3.95234813138986","13.83","","","Transfer"
"0x95c07c5be17166d9eb6445ff3fe923719231d39f91810e5942cc893e73439083","1621011","1464740296","2016-06-01 00:18:16","0x0a9de66f5fda96a5b40d1ca9cd18bfb298c67d1c","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00095684","2.42912873900919","13.83","","","Transfer"
"0xb1cfeee051010e0ed2b9849a405be7efc268ec0400e7063a80848e093cb02c68","1621020","1464740421","2016-06-01 00:20:21","0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00054218","1.37643181693492","13.83","","","Transfer From"
"0x22cb0d6531d2033d56f967e69e26abd9e91b17bbc212a86a7b3c744514bf4d63","1621022","1464740442","2016-06-01 00:20:42","0xf97181aa835acef5a340b67f096d38db14b91318","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00154099082","3.91211183417431","13.83","","","Transfer"
"0x6b0fe25e8cce15259754f0653529ed94e72e7b1e64543f016ba31f3127548686","1621029","1464740515","2016-06-01 00:21:55","0x78a7ac6758cc7ce562f9fcbfdb53569a15e71c61","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00091216","2.31569966825658","13.83","","","Approve"
"0xf46896502b4c27f044fb7410df015cfe2a366c90c847047cb1f1312a74e86f77","1621029","1464740515","2016-06-01 00:21:55","0x75291dbd0b54c86548d6eff50a1592e75196714e","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.00091216","2.31569966825658","13.83","","","Approve"
"0x205187fea605e9b3bfd165c615bf672a32991be3450b53077c759a3f635e7d21","1621033","1464740571","2016-06-01 00:22:51","0xa700536ff87d9b3c41232e8628ff1a550c495892","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.001001994","2.54376115308179","13.83","","","Transfer"
"0x53a40fd94ec8a916bd850055365734af8daa643a21c2c91bd5b4c2332b846b5b","1621038","1464740650","2016-06-01 00:24:10","0xdf21fa922215b1a56f5a6d6294e6e36c85a0acfb","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.0007818","1.98475486827201","13.83","","","Transfer From"
"0x59d5e409020c94cb16ffa5e75ac9d0aadb7859d103b5a60137a7cb9a27bd61b7","1621052","1464740865","2016-06-01 00:27:45","0x6c9d61a7bc4effdcad6e72df9dfc12f23b9d5f35","0xbb9bc244d798123fde783fcc1c72d3bb8c189413","","0","0","0","0.001487871","3.77725660093469","13.83","","","Vote"
